3586	11	92	1
3587	11	40	2
3588	11	39	3
3589	11	41	4
3590	11	42	5
3591	11	43	6
3592	11	44	7
2683	1	1	1
2684	1	2	2
2685	1	3	3
2686	1	4	4
2687	1	5	5
2688	1	6	6
3544	20	94	1
3545	20	83	2
3546	20	84	3
3547	20	85	4
3548	20	86	5
3549	20	87	6
3550	20	88	7
3551	15	95	1
3552	15	58	2
3553	15	59	3
3554	15	60	4
3555	15	61	5
3556	15	62	6
3557	15	63	7
3558	14	93	1
3559	14	52	2
3560	14	53	3
3561	14	54	4
3562	14	55	5
3563	14	56	6
3564	14	57	7
2652	19	77	1
2653	19	79	2
2654	19	78	3
2655	19	80	4
2656	19	81	5
2657	19	82	6
3565	12	96	1
3566	12	38	2
3567	12	34	3
3568	12	37	4
3569	12	36	5
3570	12	35	6
3571	12	45	7
2658	17	64	1
2659	17	65	2
2660	17	66	3
2661	17	67	4
2662	17	68	5
2663	17	69	6
2664	17	70	7
